region,locality,price_usd,area_m2,floor,rooms,expenses,properati_url,lat,lon
Capital Federal,San Telmo,119636.0,50.0,,2.0,,http://san-telmo.properati.com.ar/115g1_venta_departamentos_san-telmo_gimnasio_piscina_sum_soldati-propiedades,,
Capital Federal,Villa Urquiza,95000.0,39.0,,2.0,,http://villa-urquiza.properati.com.ar/10i2e_venta_departamentos_villa-pueyrredon_balcon_baulera_lavadero_parrilla_luminoso_lujoso_garage_placard_re-max-central,-34.573846,-58.489902
Capital Federal,Caballito,110000.0,41.0,,,,http://caballito.properati.com.ar/11c1l_venta_departamentos_caballito_balcon_lavadero_luminoso_garage_placard_castro-reisse-propiedades,-34.6134875,-58.4428593
Capital Federal,San Telmo,119930.0,47.0,,2.0,,http://san-telmo.properati.com.ar/yt89_venta_departamentos_san-telmo_parrilla_piscina_sum_garage_amenities_le-bleu,-34.6244303,-58.3741828
Capital Federal,Parque Chacabuco,98000.0,70.0,1.0,3.0,,http://parque-chacabuco.properati.com.ar/yve6_venta_departamentos_pompeya_terraza_luminoso_garage_re-max-liberty,-34.635741,-58.434139
Capital Federal,Flores,155000.0,55.0,,3.0,1500.0,http://flores.properati.com.ar/ysfz_venta_departamentos_flores_balcon_baulera_lavadero_parrilla_piscina_luminoso_garage_placard_grupo-mega-flores,-34.622597,-58.4637637
Capital Federal,San Telmo,118110.0,47.0,,2.0,,http://san-telmo.properati.com.ar/yt87_venta_departamentos_san-telmo_balcon_parrilla_piscina_sum_garage_amenities_le-bleu,-34.6244303,-58.3741828
Capital Federal,Mataderos,105000.0,35.0,7.0,,1800.0,http://mataderos.properati.com.ar/vfc2_venta_departamentos_mataderos_avenida-juan-bautista-alberdi_5800,,
Capital Federal,Palermo,123000.0,33.0,,2.0,,http://palermo.properati.com.ar/y7c1_venta_departamentos_capital-federal_garcia-teodoro_1700_lavadero_parrilla_piscina_lujoso_garage_amenities_re-max-express,-34.5630282576,-58.4398375372
Capital Federal,Paternal,90000.0,50.0,,2.0,1300.0,http://paternal.properati.com.ar/v5k8_venta_departamentos_paternal,-34.6145386963,-58.4762577092
Capital Federal,Flores,240000.0,90.0,5.0,4.0,,http://flores.properati.com.ar/10pqq_venta_departamentos_flores_balcon_baulera_suite_lavadero_piscina_toilette_vestidor_luminoso_garage_caballito,-34.62518,-58.463618
Capital Federal,Balvanera,64000.0,33.0,,1.0,,http://balvanera.properati.com.ar/1016h_venta_departamentos_balvanera_balcon_luminoso_estrenar_argos-negocios-inmobiliarios,-34.6164426,-58.4002948
Capital Federal,Puerto Madero,295000.0,74.0,,,,http://puerto-madero.properati.com.ar/vc52_venta_departamentos_puerto-madero,-34.6148218,-58.362074
Capital Federal,Villa del Parque,78500.0,36.0,,2.0,,http://villa-del-parque.properati.com.ar/zfjq_venta_departamentos_capital-federal_san-martin-av-_5000_gimnasio_lavadero_parrilla_sum_terraza_luminoso_amenities_impecable_aire-acondicionado_re-max-puerto,-34.597289,-58.489645
Capital Federal,Parque Patricios,129500.0,50.0,,,,http://parque-patricios.properati.com.ar/jubp_venta_departamento_parque-patricios,-34.6299244,-58.4098381
Capital Federal,Caballito,82000.0,50.0,4.0,,1200.0,http://caballito.properati.com.ar/11fir_venta_departamentos_caballito_luminoso_placard_lepore-propiedades,-34.6168016,-58.4480741
Capital Federal,Palermo,197000.0,76.0,,4.0,,http://palermo.properati.com.ar/10b9c_venta_departamentos_palermo_balcon_migliorisi-propiedades_cy2,-34.5984584,-58.4123565
Capital Federal,Villa Urquiza,174900.0,78.0,2.0,4.0,,http://villa-urquiza.properati.com.ar/10erp_venta_departamentos_villa-devoto_balcon_suite_lavadero_parrilla_vestidor_garage_re-max-uno-ii,-34.588316,-58.483926
Capital Federal,Barracas,280000.0,90.0,,5.0,,http://barracas.properati.com.ar/v63g_venta_departamentos_barracas,-34.632304,-58.373396
Capital Federal,Parque Centenario,84000.0,37.0,,1.0,,http://parque-centenario.properati.com.ar/10b94_venta_departamentos_parque-centenario_balcon_parrilla_piscina_sum_terraza_lujoso_migliorisi-propiedades_cy1,-34.6034502,-58.43508
